country,first_name,last_name,birth_date,start_mandate,end_mandate,wikipedia_url,intro_paragraph
be,Guy,Verhofstadt,1953-04-11,1999-07-12,2008-03-20,https://nl.wikipedia.org/wiki/Guy_Verhofstadt,"Guy Maurice Marie-Louise Verhofstadt [ 5 ] ( uitspraak ⓘ ) ( Dendermonde , 11 april 1953 ) is een Belgisch politicus voor de Open Vlaamse Liberalen en Democraten (Open Vld). Hij was premier van België van 12 juli 1999 tot 20 maart 2008 in drie regeringen. Hij beëindigde zijn actieve politieke carrière in het Europees Parlement , waar hij van 2009 tot 2019 fractieleider van de Alliantie van Liberalen en Democraten voor Europa (ALDE) was. [ 6 ]"
be,Yves,Leterme,1960-10-06,2009-11-25,2011-12-06,https://nl.wikipedia.org/wiki/Yves_Leterme,"Yves Camille Désiré Leterme ( Wervik , 6 oktober 1960 ) is een voormalig Belgisch politicus . Hij was onder meer Vlaams minister-president en premier van België . Hij was lang boegbeeld van de CD&V en boegbeeld van het toenmalige kartel CD&V/N-VA ."
be,Herman,None,1947-10-31,2008-12-30,2009-11-25,https://nl.wikipedia.org/wiki/Herman_Van_Rompuy,"Herman Achille graaf Van Rompuy ( Etterbeek , 31 oktober 1947 ) is een Belgische politicus van de christendemocratische partij CD&V . Hij was tussen 30 december 2008 en 25 november 2009 de premier van België en van 1 januari 2010 [ 2 ] tot en met 30 november 2014 voorzitter van de Europese Raad , in de media vaak incorrect ' president van Europa ' genoemd. [ 3 ] Op 19 november 2009 werd bekendgemaakt dat hij was verkozen tot de eerste permanente voorzitter en op 1 maart 2012 werd Van Rompuy met algemene stemmen door de 27 staatshoofden en regeringsleiders van de EU voor een tweede mandaat benoemd. Na deze termijn was hij niet meer herkiesbaar."
be,Léon,Delacroix,1867-12-27,1918-11-21,1920-11-20,https://nl.wikipedia.org/wiki/L%C3%A9on_Delacroix,"Léon Delacroix was een zoon van Jules Delacroix en Anne-Marie Hoorickx. Hij trouwde in 1890 met Julienne Aelbrecht (1869-1958). Ze kregen zes zoons en zes dochters. Ze waren de grootouders van baron Juan Cassiers , ambassadeur."
be,Henry,Carton,1869-01-31,1920-11-20,1921-12-16,https://nl.wikipedia.org/wiki/Henri_Carton_de_Wiart,"Graaf Henri Carton de Wiart was een telg uit de familie Carton de Wiart . Hij was een zoon van Riégo Carton de Wiart, advocaat, en Marie Cammaerts. Hij was een broer van graaf Edmond Carton de Wiart en een neef van de Britse generaal Adrian Carton de Wiart en Etienne Carton de Wiart , bisschop van Doornik ."
be,Georges,Theunis,1873-02-28,1934-11-20,1935-03-25,https://nl.wikipedia.org/wiki/Georges_Theunis,"Georges Theunis, broer van luitenant-generaal Emile Theunis, kreeg een militaire opleiding en werd ingenieur. Hij begon zijn carrière bij de Groep Empain , waar hij onder andere voor baron Empain studiereizen naar Rusland uitvoerde en belast werd met een beheersfunctie bij ACEC . Tijdens de Eerste Wereldoorlog was hij in Londen voorzitter van de Belgische Commissie voor oorlogsbevoorrading, een activiteit waarin zijn werkgever ook sterk betrokken was. Na de bevrijding maakte hij deel uit van de Belgische delegatie bij de vredesconferentie van Versailles , en vertegenwoordigde hij België in de Commissie voor herstelbetalingen."
be,Aloïs,Van de Vyvere,1871-06-08,1925-05-13,1925-06-17,https://nl.wikipedia.org/wiki/Aloys_Van_de_Vyvere,Hij was een zoon van Jean-Baptiste van de Vyvere en van Marie-Valérie Sierens en trouwde in 1894 met Marie-Louise de Neeff (1870-1926). Hij hertrouwde in 1931 met Nydia Merten (1910-1995). Uit het eerste huwelijk had hij vijf kinderen en hij had nog een dochter uit het tweede. In 1931 werd hij in de Belgische erfelijke adel opgenomen met de bij eerstgeboorte overdraagbare titel van burggraaf.
be,Prosper,Poullet,1868-03-05,1925-06-17,1926-05-20,https://nl.wikipedia.org/wiki/Prosper_Poullet,"Prosper Poullet was een telg uit de aristocratische familie Poullet , die officieren en magistraten telde. Hij liep van 1879 tot 1884 middelbare school bij de jozefieten in Leuven en promoveerde in 1890 aan de Katholieke Universiteit Leuven tot doctor in de wijsbegeerte en letteren en doctor in de rechten."
be,Henri,Jaspar,1870-07-28,1926-05-20,1931-06-06,https://nl.wikipedia.org/wiki/Henri_Jaspar,"Jaspar was de oudste van zes in het gezin van de aannemer Pierre Jaspar (die onder meer de Kazerne Dailly bouwde). Zijn broer Jules Jaspar werd consul in Hanoi en gevolmachtigd minister in het Verre Oosten en onder meer tijdens de Tweede Wereldoorlog agent van de Britse geheime diensten. Zijn broer Ernest Jaspar was architect, ontwierp gebouwen voor Édouard Empain , eerst in België, vervolgens in Heliopolis . Hij bouwde ook de universiteit van Hyderabad ."
be,Jules,None,1862-12-03,1931-06-06,1932-10-22,https://nl.wikipedia.org/wiki/Jules_Renkin,"In juli 1896 werd hij verkozen tot lid van de Kamer van volksvertegenwoordigers voor het arrondissement Brussel voor de Katholieke Partij en vervulde dit mandaat tot aan zijn dood in 1934. Voor de Eerste Wereldoorlog was Renkin een mandataris van de christelijke arbeidersbeweging en gold hij als christendemocratisch politicus, maar nadien evolueerde hij in conservatieve richting. In 1925 was hij zelfs tegenstander van een regering van christendemocraten en socialisten, geleid door Prosper Poullet . [ 1 ]"
be,Paul,Van Zeeland,1893-11-11,1935-03-25,1937-11-24,https://nl.wikipedia.org/wiki/Paul_van_Zeeland,"Van Zeeland begon zijn studies aan de Katholieke Universiteit Leuven in 1913, die het jaar daarop onderbroken werden door de Eerste Wereldoorlog . Tijdens de Duitse inval diende hij een paar weken bij het 3de Linieregiment, maar werd krijgsgevangen genomen op 19 augustus 1914 in Butsel bij Boutersem. Na de oorlog hervatte hij zijn studies en promoveerde in 1920 tot doctor in de rechten en in 1922 tot doctor in de politieke en sociale wetenschappen aan de KU Leuven. In 1921 werd hij Master of Arts in de economie aan de Princeton-universiteit . Ook was hij aan de KU Leuven baccalaureus in de thomistische wijsbegeerte ."
be,Achille,Van Acker,1898-04-08,1954-04-23,1958-06-26,https://nl.wikipedia.org/wiki/Achiel_Van_Acker,"Van Acker werd geboren in een gezin van twaalf kinderen. Reeds van zijn zesde jaar moest hij vader helpen bij het mandenvlechten . Omdat hij de school op tienjarige leeftijd moest verlaten, volgde hij avondles en werd hij beschouwd als een ""selfmade man"". Het belette niet dat hij doctor honoris causa werd van de Universiteit van Rijsel . Oorspronkelijk was hij een voorstander van de christendemocratische beweging, geleid door priester Florimond Fonteyne . Door zijn leeswoede kwam hij in contact met de socialistische beweging, waarin hij zich verder zou verdiepen."
be,Camille,Huysmans,1871-05-26,1946-08-03,1947-03-20,https://nl.wikipedia.org/wiki/Camille_Huysmans,"Jean Joseph Camille Huysmans (ook Kamiel Huysmans genoemd) ( Bilzen , 26 mei 1871 - Antwerpen , 25 februari 1968 ), geboren als Camiel Hansen , was een Belgisch journalist en socialistisch politicus voor de BWP / BSP ."
